frequency,raw
10.32,93.75
11.99,95.00
12.66,95.42
13.95,96.10
14.69,96.42
15.44,96.75
16.30,97.08
17.95,97.59
18.82,97.85
19.80,98.08
20.79,98.28
21.82,98.49
22.90,98.69
24.03,98.86
25.23,99.01
26.48,99.16
27.79,99.29
29.17,99.42
30.62,99.51
32.14,99.60
33.73,99.66
35.40,99.72
37.16,99.77
39.00,99.81
40.94,99.83
42.97,99.87
45.10,99.87
47.34,99.84
49.69,99.76
52.15,99.62
54.74,99.42
57.46,99.18
60.31,98.87
63.31,98.53
66.45,98.18
69.75,97.92
73.21,97.85
76.84,98.02
80.30,98.46
83.54,98.98
87.29,99.56
91.62,99.63
95.12,99.05
97.67,98.48
101.40,97.98
106.43,97.90
111.71,98.09
117.25,98.30
123.07,98.52
129.17,98.71
135.58,98.82
142.31,98.86
149.37,98.74
156.78,98.45
163.84,98.01
169.72,97.52
174.66,96.99
179.34,96.46
183.34,95.91
186.61,95.43
190.35,94.86
194.17,94.31
197.63,93.82
201.15,93.20
204.73,92.62
208.38,92.02
212.09,91.49
215.87,90.96
220.20,90.43
226.10,89.90
235.25,89.38
246.93,89.24
258.03,89.69
269.63,90.18
283.00,90.62
297.03,91.01
311.76,91.38
327.21,91.68
343.44,91.96
360.47,92.16
378.35,92.33
397.12,92.48
416.82,92.57
437.50,92.61
459.21,92.63
481.99,92.62
505.90,92.58
531.01,92.54
557.36,92.48
585.01,92.42
614.04,92.38
644.51,92.37
676.48,92.37
710.05,92.39
745.27,92.42
782.25,92.46
821.05,92.54
861.78,92.64
904.53,92.74
949.41,92.82
996.50,92.88
1045.94,92.96
1097.82,93.07
1152.27,93.25
1209.42,93.44
1269.41,93.57
1332.38,93.74
1398.45,94.01
1467.78,94.42
1533.77,94.92
1592.18,95.43
1649.17,95.95
1708.21,96.47
1773.25,97.01
1844.83,97.57
1927.77,98.08
2023.33,98.53
2123.65,98.93
2228.94,99.26
2339.48,99.51
2455.54,99.59
2577.37,99.60
2705.29,99.40
2839.53,99.36
2973.75,99.78
3100.71,99.93
3190.89,99.29
3247.74,98.74
3305.61,98.14
3364.50,97.55
3416.89,97.07
3462.49,96.51
3500.95,96.04
3547.71,95.34
3595.11,94.61
3641.52,93.90
3677.17,93.28
3724.64,92.58
3849.88,91.95
3849.96,91.72
3978.92,92.49
4015.69,93.02
4061.69,93.62
4122.67,94.38
4184.60,95.02
4240.01,95.60
4301.60,96.10
4420.64,96.76
4609.27,97.16
4837.86,97.38
5077.69,97.83
5329.51,98.07
5520.77,97.62
5656.34,97.07
5872.28,96.54
6163.63,96.54
6426.96,96.36
6701.63,96.04
6941.45,96.69
7079.99,97.23
7221.28,97.79
7304.07,98.32
7371.14,98.86
7553.25,99.42
7833.46,98.56
7990.56,98.03
8186.74,97.55
8424.76,97.03
8631.67,96.45
8756.59,95.76
8824.76,95.19
8874.02,94.46
8943.15,93.83
8993.03,93.16
9043.10,92.60
9083.47,92.01
9137.42,91.41
9195.11,90.77
9236.14,90.21
9328.69,89.46
9382.34,88.71
9513.84,87.97
9675.44,87.19
9878.78,88.33
9938.56,88.94
9965.13,89.86
10201.88,91.02
10413.93,89.89
10475.74,88.96
10516.45,88.25
10577.32,87.70
10611.42,86.88
10905.71,85.44
11030.45,86.26
11078.37,87.02
11151.20,87.60
11186.00,88.31
11263.21,89.07
11297.26,89.78
11346.57,90.31
11396.16,90.77
11445.81,91.39
11495.67,92.02
11571.07,92.77
11672.53,93.60
11774.35,94.20
11984.24,94.76
12294.35,94.17
12323.78,93.61
12415.17,93.03
12462.80,92.39
12554.08,91.66
12622.27,90.85
12713.45,90.05
12723.26,89.63
12837.39,88.20
12864.83,88.95
12894.84,87.49
12924.51,86.39
12943.39,85.48
13020.68,84.78
13303.74,82.93
13598.00,84.31
13666.40,85.78
13737.88,86.94
13825.45,87.68
13926.32,88.45
14084.01,89.13
14192.40,89.89
14536.55,90.62
14842.18,89.89
14886.86,89.21
14931.56,88.49
15009.37,87.80
15023.36,87.21
15110.41,86.60
15157.88,85.97
15250.62,85.27
15313.97,84.61
15338.89,84.01
15371.77,83.50
15451.56,83.03
15508.30,82.32
15814.33,81.58
16302.77,82.29
16397.58,83.09
16432.69,83.79
16504.50,84.27
16576.28,84.97
16648.48,85.61
16720.97,86.25
16830.78,86.90
16929.06,87.44
17126.67,88.07
17546.53,88.87
17939.05,87.59
17959.86,86.93
18059.74,86.44
18100.44,85.87
18157.40,85.19
18238.52,84.56
18344.18,83.96
18385.54,83.38
18440.65,82.72
18523.06,82.08
18605.88,81.41
18675.16,80.87
18717.13,80.37
18811.17,79.70
18944.34,79.04
19137.05,78.38
19392.51,77.77
